donor,recipient,donated_amount
Liechtenstein,Slovak Republic,4370700
Liechtenstein,Hungary,4370700
Liechtenstein,Colombia,4370700
Liechtenstein,Liechtenstein,4370700
Liechtenstein,Austria,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Colombia,4370700
Liechtenstein,Finland,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Hungary,4370700
Liechtenstein,Germany,4370700
Liechtenstein,Poland,4370700
Liechtenstein,Poland,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Hungary,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Poland,4370700
Liechtenstein,Thailand,4370700
Liechtenstein,Hungary,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Hungary,4370700
Liechtenstein,Czech Republic,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Switzerland,4370700
Liechtenstein,Latvia,4370700
Liechtenstein,Finland,4370700
Liechtenstein,Colombia,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Hungary,4370700
Liechtenstein,Lithuania,4370700
Liechtenstein,Colombia,4370700
Liechtenstein,Poland,4370700
Liechtenstein,Hungary,4370700
Liechtenstein,Liechtenstein,4370700
Liechtenstein,Romania,4370700
Liechtenstein,Czech Republic,4370700
Czech Republic,Brazil,8930435
Czech Republic,Colombia,8930435
Czech Republic,Brazil,8930435
Czech Republic,Colombia,8930435
Czech Republic,India,8930435
Czech Republic,India,8930435
Czech Republic,Thailand,8930435
Czech Republic,India,8930435
Czech Republic,Chile,8930435
Czech Republic,Lithuania,8930435
Czech Republic,India,8930435
Czech Republic,India,8930435
Czech Republic,Slovak Republic,8930435
Czech Republic,Lithuania,8930435
Czech Republic,India,8930435
Czech Republic,Romania,8930435
Czech Republic,Chile,8930435
Czech Republic,India,8930435
Czech Republic,Latvia,8930435
Czech Republic,Latvia,8930435
Czech Republic,India,8930435
Czech Republic,Lithuania,8930435
Czech Republic,Colombia,8930435
Czech Republic,Brazil,8930435
Czech Republic,Chile,8930435
Czech Republic,Thailand,8930435
Czech Republic,Thailand,8930435
Czech Republic,Lithuania,8930435
Czech Republic,India,8930435
Czech Republic,South Africa,8930435
Czech Republic,India,8930435
Czech Republic,Estonia,8930435
Czech Republic,Romania,8930435
Czech Republic,South Africa,8930435
Greece,Brazil,32667185
Greece,Poland,32667185
Greece,Romania,32667185
Greece,India,32667185
Greece,Cyprus,32667185
Greece,Romania,32667185
Greece,India,32667185
Greece,Brazil,32667185
Greece,Lithuania,32667185
Greece,Hungary,32667185
Greece,South Africa,32667185
Greece,Colombia,32667185
Greece,Estonia,32667185
Greece,Korea,32667185
Greece,South Africa,32667185
Greece,Cyprus,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,South Africa,32667185
Greece,Brazil,32667185
Greece,Cyprus,32667185
Greece,India,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Estonia,32667185
Greece,Slovenia,32667185
Greece,India,32667185
Greece,Thailand,32667185
Greece,Brazil,32667185
Greece,Latvia,32667185
Greece,Chile,32667185
Greece,South Africa,32667185
Greece,Estonia,32667185
Greece,Thailand,32667185
Greece,South Africa,32667185
Greece,Slovak Republic,32667185
Greece,Slovak Republic,32667185
Greece,Chile,32667185
Greece,Slovak Republic,32667185
Greece,Slovak Republic,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Taiwan,32667185
Greece,Taiwan,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Thailand,32667185
Greece,Brazil,32667185
Greece,India,32667185
Greece,Romania,32667185
Greece,Cyprus,32667185
Greece,Romania,32667185
Greece,Korea,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Latvia,32667185
Greece,Romania,32667185
Greece,Cyprus,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
